Author,Year,DOI,TOTAL,Male,Female,G1,G1_n,G1_P1,G1_P2,G2,G2_n,G2_P1,G2_P2,G3,G3_n,G3_P1,G3_P2,G4,G4_n,G4_P1,G4_P2
"Lisman, Kazman, O'connor, Heled and Deuster",2014,10.7205/milmed-d-14-00169,46,34,12,Not_Reported,,,,,,,,,,,,,,,
"Mcgarr, Hartley and Cheung",2014,10.1080/15459624.2013.816429,16,11,5,Not_Reported,,,,,,,,,,,,,,,
"Moyen, Mundel, Du Bois, Ciccone, Morton and Judelson",2014,10.3357/asem.3993.2014,10,,10,EUM,,Follicular,,OCP,,Placebo,,,,,,,,,
"Op 'T Eijnde, Keytsman, Wens and Hansen",2014,10.3233/nre-141159,12,5,7,Not_Reported,,,,,,,,,,,,,,,
Parrott and Young,2014,10.4161/23328940.2014.977182,68,38,30,Not_Reported,,,,,,,,,,,,,,,
Pate and Buono,2014,,24,5,19,Not_Reported,,,,,,,,,,,,,,,
"Pearson, Lucas, Schlader, Zhao, Gagnon and Crandall",2014,10.1152/ajpregu.00199.2014,8,6,2,EUM,1,Follicular,,OCP,1,Placebo,,,,,,,,,
"Ramos-Jimenez, Hernandez-Torres, Wall-Medrano, Torres-Duran, Juarez-Oropeza, Viloria and Villalobos-Molina",2014,10.3305/nh.2014.29.3.7017,21,12,9,EUM,9,Mid_Follicular,,,,,,,,,,,,,
Raymond and Barringer,2014,10.1080/10803548.2014.11077040,93,74,19,Not_Reported,,,,,,,,,,,,,,,
"Savage, Lord, Larsen, Knight, Langridge and Aisbett",2014,10.1016/j.jtherbio.2014.10.003,48,46,2,Not_Reported,,,,,,,,,,,,,,,
"Solianik, Skurvydas, Mickeviciene and Brazaitis",2014,10.1016/j.cryobiol.2014.08.007,32,18,14,EUM,14,Follicular,,,,,,,,,,,,,
"Taylor, Mauger, Watkins, Fitch, Brewer, Maxwell, Webborn and Castle",2014,10.1519/jsc.0000000000000558,8,,8,EUM,5,Follicular,,EUM,3,Luteal,,,,,,,,,
"Veltmeijer, Pluim, Thijssen, Hopman and Eijsvogels",2014,10.1038/sc.2014.27,8,5,3,Not_Reported,,,,,,,,,,,,,,,
"Venckunas, Trinkunas, Kamandulis, Poderys, Grunovas and Brazaitis",2014,10.1155/2014/353040,13,,13,Not_Reported,,,,,,,,,,,,,,,
"Yakushkin, Akimov, Andreev, Kalenov, Kozlov, Kuznetsova and Son'kin",2014,,10,7,3,Not_Reported,,,,,,,,,,,,,,,
"Yang, Nepocatych, Katica, Collins, Casaru, Balilionis, Sj�kvist and Bishop",2014,,7,6,1,Not_Reported,,,,,,,,,,,,,,,
"Zadeh, Shepley, Williams and Chung",2014,10.1177/193758671400700405,12,2,10,Not_Reported,,,,,,,,,,,,,,,
"Adams, Ganio, Burchfield, Matthews, Werner, Chokbengboun, Dougherty and Lachance",2015,,20,,20,EUM,20,Early_Follicular,,,,,,,,,,,,,
"Amano, Ichinose, Inoue, Nishiyasu, Koga and Kondo",2015,10.1152/ajpregu.00005.2015,14,6,8,EUM,8,Follicular,,,,,,,,,,,,,
"Benda, Seeger, Van Lier, Bellersen, Van Dijk, Hopman and Thijssen",2015,10.1113/ep085040,14,12,2,Not_Reported,,,,,,,,,,,,,,,
"Bonmati-Carrion, Middleton, Revell, Skene, Rol and Madrid",2015,10.3109/07420528.2015.1016613,13,7,6,Not_Reported,,,,,,,,,,,,,,,
"Brearley, Sherburn, Galea and Clarke",2015,10.1016/j.jphys.2015.08.004,109,,109,Pregnant,109,,,,,,,,,,,,,,
"Coombs, Cramer, Ravanelli, Morris and Jay",2015,10.1111/sms.12336,9,8,1,Not_Reported,,,,,,,,,,,,,,,
Crabtree and Blannin,2015,10.1249/mss.0000000000000391,16,10,6,Not_Reported,,,,,,,,,,,,,,,
"Cuddy, Sol, Hailes and Ruby",2015,10.1016/j.wem.2014.12.010,15,12,3,Not_Reported,,,,,,,,,,,,,,,
"Dos Santos Haupenthal, De Noronha, Haupenthal, Ruschel and Nunes",2015,,20,10,10,Not_Reported,,,,,,,,,,,,,,,
"Earhart, Weiss, Rahman and Kelly",2015,,11,4,7,Not_Reported,,,,,,,,,,,,,,,
"Flouris, Webb and Kenny",2015,10.1152/japplphysiol.00932.2014,36,24,12,Not_Reported,,,,,,,,,,,,,,,
"Ganio, Schlader, Pearson, Lucas, Gagnon, Rivas, Kowalske and Crandall",2015,10.1249/mss.0000000000000655,43,24,19,Not_Reported,,,,,,,,,,,,,,,
"Gill, Hankey, Wright, Marczak, Hemming, Allerton, Ansley-Robson and Costa",2015,10.1055/s-0034-1398535,17,14,3,Not_Reported,,,,,,,,,,,,,,,
"Gill, Teixeira, Rama, Prestes, Rosado, Hankey, Scheer, Hemmings, Ansley-Robson and Costa",2015,,31,18,13,Not_Reported,,,,,,,,,,,,,,,
"Gonzalez-Alonso, Calbet, Boushel, Helge, Sondergaard, Munch-Andersen, Van Hall, Mortensen and Secher",2015,10.1113/ep085383,28,22,6,Not_Reported,,,,,,,,,,,,,,,
"Griggs, Leicht, Price and Goosey-Tolfrey",2015,10.1123/ijspp.2014-0361,16,14,2,Not_Reported,,,,,,,,,,,,,,,
Harrop and Woodruff,2015,10.1519/jsc.0000000000000715,36,15,21,EUM,21,Follicular,,,,,,,,,,,,,
"Horn, Kesler, Motl, Hsiao-Wecksler, Klaren, Ensari, Petrucci, Fernhall and Rosengren",2015,10.1080/00140139.2014.997806,19,18,1,Not_Reported,,,,,,,,,,,,,,,
"Hue, Monjo and Riera",2015,10.1055/s-0035-1548812,8,5,3,Not_Reported,,,,,,,,,,,,,,,
"Kazman, Purvis, Heled, Lisman, Atias, Van Arsdale and Deuster",2015,,75,55,20,EUM,20,Follicular,,,,,,,,,,,,,
"Keene, Brearley, Bowen and Walker",2015,10.1017/s1049023x15005038,45,42,3,Not_Reported,,,,,,,,,,,,,,,
"Larsen, Snow and Aisbett",2015,10.1016/j.jtherbio.2015.07.008,38,31,7,Not_Reported,,,,,,,,,,,,,,,
"Larsen, Snow, Vincent, Tran, Wolkow and Aisbett",2015,10.1371/journal.pone.0136413,36,31,5,Not_Reported,,,,,,,,,,,,,,,
"Legrand, Joly and Bertucci",2015,10.1080/02701367.2015.1046588,170,111,59,Not_Reported,,,,,,,,,,,,,,,
"Madden, Ashe and Chase",2015,10.5888/pcd12.150100,50,23,27,Not_Reported,,,,,,,,,,,,,,,
"Mcfarlin, Venable, Williams and Jackson",2015,10.5604/20831862.1124569,30,14,16,Not_Reported,,,,,,,,,,,,,,,
"Mcginn, Carter, Barrera-Ramirez, Sigal, Flouris and Kenny",2015,10.1111/sms.12344,8,5,3,Amenorrheic/Oligomenorrheic,1,Not_Reported,,Not_Reported,2,,,,,,,,,,
"Mee, Doust and Maxwell",2015,10.1016/j.jtherbio.2015.02.010,16,8,8,EUM,3,Early_Follicular,,OCP,5,Placebo,,,,,,,,,
"Mee, Gibson, Doust and Maxwell",2015,10.1111/sms.12417,16,8,8,EUM,5,Early_Follicular,,OCP,3,Pill,,,,,,,,,
Periard and Racinais,2015,10.1111/sms.12379,11,10,1,Amenorrheic/Oligomenorrheic,1,,,,,,,,,,,,,,
Pintu,2015,,13,,13,Not_Reported,,,,,,,,,,,,,,,
"Priego Quesada, Lucas-Cuevas, Gil-Calvo, Gimenez, Aparicio, Cibrian Ortiz De Anda, Salvador Palmer, Llana-Belloch and Perez-Soriano",2015,10.1016/j.jtherbio.2015.06.005,44,29,15,EUM,15,Luteal,,,,,,,,,,,,,
"Pritchett, Al-Nawaiseh, Pritchett, Nethery, Bishop and Green",2015,10.5604/20831862.1163370,14,6,8,Not_Reported,,,,,,,,,,,,,,,
"Reynolds, Evanich and Eberman",2015,,19,14,5,Not_Reported,,,,,,,,,,,,,,,
"Richmond, Davey, Griggs and Havenith",2015,10.1093/annhyg/mev054,21,12,9,Not_Reported,,,,,,,,,,,,,,,
"Rudenko, Mahliovanyy, Shyyan and Prystupa",2015,,20,14,6,Not_Reported,,,,,,,,,,,,,,,
"Schlader, Ganio, Pearson, Lucas, Gagnon, Rivas, Kowalske and Crandall",2015,10.1152/japplphysiol.00176.2015,34,20,14,Not_Reported,,,,,,,,,,,,,,,
"Solianik, Skurvydas, Pukenas and Brazaitis",2015,10.1016/j.cryobiol.2015.04.012,32,18,14,EUM,14,Follicular,,,,,,,,,,,,,
"Somboonwong, Chutimakul and Sanguanrungsirikul",2015,https://protect-au.mimecast.com/s/WrPpCNLwQEi0RMpnnUrTdTl?domain=journals-lww-com.ezp01.library.qut.edu.au,,,,,,,,,,,,,,,,,,,
"Taylor, Haberley and Hoyle",2015,10.1007/s00484-014-0911-8,16,8,8,Not_Controlled,8,,,,,,,,,,,,,,
"Veltmeijer, Eijsvogels, Thijssen and Hopman",2015,10.1016/j.jsams.2014.04.007,227,111,116,Not_Reported,,,,,,,,,,,,,,,
"Vincent, Ferguson, Tran, Larsen, Wolkow and Aisbett",2015,10.1371/journal.pone.0115329,35,30,5,Not_Reported,,,,,,,,,,,,,,,
Wall-Scheffler,2015,,14,9,5,EUM,5,Follicular,,,,,,,,,,,,,
"Wark, Henningham, Gorelik, Jayasinghe, Hartley and Garland",2015,10.2196/mhealth.4263,15,,15,EUM,11,Follicular,Luteal,OCP,4,Pill,Placebo,,,,,,,,
"Wernke, Schroeder, Kelley, Denune and Colvin",2015,,16,14,2,Not_Reported,,,,,,,,,,,,,,,
Yang and Chan,2015,10.1016/j.jtherbio.2014.12.007,12,10,2,Not_Reported,,,,,,,,,,,,,,,
Zimmermann and Landers,2015,10.1080/17461391.2014.965751,9,,9,OCP,9,Not_Reported,,,,,,,,,,,,,
"Adzika Nsatimba, Pathak and Soares",2016,,61,21,40,EUM,40,Not_Reported,,,,,,,,,,,,,
"Amano, Ichinose, Inoue, Nishiyasu, Koga, Kenny and Kondo",2016,10.1152/ajpregu.00545.2015,12,6,6,EUM,6,Early_Follicular,,,,,,,,,,,,,
"Bailey, Cable, Aziz, Dobson, Sprung, Low and Jones",2016,10.1097/gme.0000000000000625,21,,21,Amenorrheic/Oligomenorrheic,21,,,,,,,,,,,,,,
"Benda, Eijsvogels, Van Dijk, Bellersen, Thijssen and Hopman",2016,10.1177/2047487315574281,14,12,2,Not_Reported,,,,,,,,,,,,,,,
"Bracci, Ciarapica, Copertaro, Barbaresi, Manzella, Tomasetti, Gaetani, Monaco, Amati, Valentino, Rapisarda and Santarelli",2016,10.3390/ijms17050623,48,,48,Not_Reported,,,,,,,,,,,,,,,
"Buono, Krippes, Kolkhorst, Williams and Cabrales",2016,10.1113/ep085504,9,4,5,Not_Reported,,,,,,,,,,,,,,,
"Butts, Luhring, Smith, Tucker, Moyen, Ganio, Mcdermott, Butts, Luhring, Smith, Tucker, Moyen, Ganio and Mcdermott",2016,,14,8,6,Not_Reported,,,,,,,,,,,,,,,
"Butts, Mcdermott, Buening, Bonacci, Ganio, Adams, Tucker and Kavouras",2016,10.4085/1062-6050-51.4.01,17,10,7,Not_Reported,,,,,,,,,,,,,,,
"Castellani, Zambraski, Sawka and Urso",2016,10.14814/phy2.12777,8,5,3,Not_Reported,,,,,,,,,,,,,,,
"Corder, Newsham, Mcdaniel, Ezekiel and Weiss",2016,,27,,27,Not_Reported,,,,,,,,,,,,,,,
"Cui, Blaha and Sinoway",2016,10.1152/japplphysiol.00212.2016,14,9,5,Not_Reported,,,,,,,,,,,,,,,
"Diversi, Franks-Kardum and Climstein",2016,10.1186/s13728-016-0044-2,9,6,3,Not_Reported,,,,,,,,,,,,,,,
"Dotti, Ferri, Moncalero and Colonna",2016,10.1016/j.apergo.2016.04.002,5,2,3,Not_Reported,,,,,,,,,,,,,,,
"Dupont Rocher, Bessot, Sesboue, Bulla and Davenne",2016,10.1093/gerona/glv195,29,15,14,Not_Reported,,,,,,,,,,,,,,,
"Forsyth, Pumpa, Knight and Miller",2016,10.1080/10790268.2016.1180098,16,14,2,Not_Reported,,,,,,,,,,,,,,,
"Garc�a, Ram�rez and Valdez",2016,,10,2,8,EUM,8,Follicular,,,,,,,,,,,,,
"Gr�lot, Koulibaly, Maugey, Janvier, Foissaud, Aletti, Savini, Cotte, Dampierre, Granier, Carmoi and Sagui",2016,10.1093/infdis/jiv585,25,14,11,Not_Reported,,,,,,,,,,,,,,,
"Hashimoto, Ishijima, Suzuki and Higuchi",2016,https://protect-au.mimecast.com/s/AlnZCOMxVEHpG2kPPC5KdFN?domain=minervamedica.it,,,,,,,,,,,,,,,,,,,
"Hosokawa, Adams, Stearns and Casa",2016,,30,15,15,Not_Reported,,,,,,,,,,,,,,,
"Hostler, Colburn, Rittenberger and Reis",2016,10.3109/10903127.2016.1168890,42,38,4,Not_Reported,,,,,,,,,,,,,,,
"Keppler, Rosburg, Lemoine, Pfluger, Gyr and Mager",2016,10.1007/s10484-016-9337-x,14,3,11,Not_Reported,,,,,,,,,,,,,,,
Long,2016,,20,10,10,Not_Reported,,,,,,,,,,,,,,,
"Luhring, Butts, Smith, Bonacci, Ylanan, Ganio and Mcdermott",2016,10.4085/1062-6050-51.12.07,16,9,7,Not_Reported,,,,,,,,,,,,,,,
Mathers and Grealy,2016,10.3389/fpsyg.2016.01246,6,3,3,EUM,3,Follicular,,,,,,,,,,,,,
"Mcfarlin, Henning, Venable, Williams and Best Sampson",2016,10.1080/00140139.2015.1108460,14,8,6,Not_Reported,,,,,,,,,,,,,,,
"Mcgowan, Pyne, Thompson and Rattray",2016,10.1123/ijspp.2015-0581,10,6,4,Not_Reported,,,,,,,,,,,,,,,
"Mee, Gibson, Tuttle, Taylor, Watt, Doust and Maxwell",2016,10.1080/23328940.2016.1214336,10,5,5,EUM,5,Follicular,,,,,,,,,,,,,
Morris and Pilcher,2016,10.1016/j.biopsycho.2016.09.011,44,20,24,Not_Reported,,,,,,,,,,,,,,,
"Sambaher, Aboodarda, Silvey, Button and Behm",2016,10.1519/jsc.0000000000001011,15,7,8,Not_Reported,,,,,,,,,,,,,,,
"Schlader, Temple and Hostler",2016,10.1080/23328940.2016.1148526,10,5,5,EUM,5,Not_Controlled,,,,,,,,,,,,,
"Simonis, Petersen, Lagendijk and Van Den Berg",2016,10.1002/mrm.25710,15,9,6,Not_Reported,,,,,,,,,,,,,,,
"Simonsick, Meier, Shaffer, Studenski and Ferrucci",2016,10.1007/s11357-016-9952-8,762,396,366,Not_Reported,,,,,,,,,,,,,,,
"Thomas, Van Rij, Lucas, Gray and Cotter",2016,10.1080/23328940.2016.1156215,10,8,2,EUM,2,Early_Follicular,,,,,,,,,,,,,
"Trbovich, Kiratli and Price",2016,10.1016/j.jtherbio.2016.10.006,10,9,1,Not_Reported,,,,,,,,,,,,,,,
"Valentino, Stuempfle, Kern and Hoffman",2016,10.1080/15438627.2016.1191491,30,23,7,Not_Reported,,,,,,,,,,,,,,,
"Walsh, Ruoff, Varbel, Walker, Grinberg, Boxer, Kramer, Miller and Neylan",2016,10.1016/j.sleep.2016.05.002,17,9,8,Not_Reported,,,,,,,,,,,,,,,
"Yeung, Ting, Hon, Fung, Choi, Cheng and Yeung",2016,10.1097/md.0000000000002455,20,10,10,Not_Reported,,,,,,,,,,,,,,,
"Adams, Hosokawa, Belval, Huggins, Stearns and Casa",2017,10.1016/j.jsams.2016.07.009,32,16,16,Not_Reported,,,,,,,,,,,,,,,
"Akerman, Lucas, Katare and Cotter",2017,10.3389/fphys.2017.00756,10,4,6,OCP,6,Placebo,,,,,,,,,,,,,
"Alexandre, Prieto, Beaumont, Taiar and Polidori",2017,10.1016/j.jss.2016.10.019,4,2,2,Not_Reported,,,,,,,,,,,,,,,
"Andersen, Saber, Pedersen, Loft, Hansen, Koponen, Pedersen, Ebbehoj, Norskov, Clausen, Garde, Vogel and Moller",2017,10.1186/s12940-017-0303-8,43,32,11,Not_Reported,,,,,,,,,,,,,,,
"Butts, Spisla, Adams, Smith, Paulsen, Caldwell, Ganio and Mcdermott",2017,10.7205/milmed-d-17-00057,13,11,2,Not_Reported,,,,,,,,,,,,,,,
"Caldwell, Robinson, Tucker, Arcement, Butts, Mcdermott, Ganio, Caldwell, Robinson, Tucker, Arcement, Butts, Mcdermott and Ganio",2017,,9,6,3,Amenorrheic/Oligomenorrheic,,,,,,,,,,,,,,,
"Casadio, Storey, Merien, Kilding, Cotter, Laursen, Casadio, Storey, Kilding, Cotter and Laursen",2017,,16,8,8,OCP,4,Placebo,Pill,EUM,4,Follicular,Luteal,,,,,,,,
"Cernych, Baranauskiene, Eimantas, Kamandulis, Daniuseviciute and Brazaitis",2017,10.3389/fpsyg.2017.01344,21,10,11,Not_Reported,,,,,,,,,,,,,,,
"Christensen, Lipman, Grahn, Shea, Einhorn and Heller",2017,10.1016/j.wem.2017.02.009,8,6,2,Not_Reported,,,,,,,,,,,,,,,
"Collett, Meaney, Howells and Dawes",2017,10.3109/09638288.2016.1152604,8,2,6,Not_Reported,,,,,,,,,,,,,,,
"Coombs, Cramer, Ravanelli, Imbeault and Jay",2017,10.1152/japplphysiol.00829.2016,8,7,1,IUD,1,Cont._Hormone,,,,,,,,,,,,,
"Cordery, Peirce, Maughan and Watson",2017,10.1111/sms.12753,9,,9,EUM,9,Follicular,,,,,,,,,,,,,
"Ensari, Motl, Klaren, Fernhall, Smith and Horn",2017,10.1080/00140139.2016.1198496,21,20,1,Not_Reported,,,,,,,,,,,,,,,
"Filingeri, Chaseling, Hoang, Barnett, Davis and Jay",2017,10.1113/ep086320,8,5,3,Not_Reported,,,,,,,,,,,,,,,
"Fogt, Henning, Venable and Mcfarlin",2017,,14,8,6,Not_Reported,,,,,,,,,,,,,,,
"Fournier, Iten, Marques-Vidal, Boulat, Bardy, Beggah, Calderara, Morawiec, Lauriers, Monney, Iglesias, Pascale, Harbaoui, Eeckhout and Muller",2017,10.1007/s00392-017-1152-8,17,8,9,Not_Reported,,,,,,,,,,,,,,,
"Fujii, Aoki-Murakami, Tsuji, Kenny, Nagashima, Kondo and Nishiyasu",2017,10.14814/phy2.13465,14,,14,Not_Reported,,,,,,,,,,,,,,,
"Gabel, Reichert, Maire, Schmidt, Schlangen, Kolodyazhniy, Garbazza, Cajochen and Viola",2017,10.1038/s41598-017-07060-8,38,24,14,EUM,,Luteal,,OCP,,Not_Reported,,,,,,,,,
"Griggs, Havenith, Paulson, J Price and Goosey-Tolfrey",2017,10.1016/j.jsams.2017.03.010,8,7,1,Not_Reported,,,,,,,,,,,,,,,
"Griggs, Havenith, Price, Mason and Goosey-Tolfrey",2017,10.1055/s-0042-121263,17,16,1,Not_Reported,,,,,,,,,,,,,,,
"Gubin, Weinert, Rybina, Danilova, Solovieva, Durov, Prokopiev and Ushakov",2017,10.1080/07420528.2017.1288632,173,123,50,Not_Reported,,,,,,,,,,,,,,,
"Hosokawa, Adams, Belval, Vandermark and Casa",2017,10.1016/j.annemergmed.2016.08.428,14,8,6,EUM,6,Luteal,,,,,,,,,,,,,
Houten and Cooper,2017,10.1080/08990220.2017.1372739,18,11,7,Not_Reported,,,,,,,,,,,,,,,
"Hunter, Shah, Langrish, Raftis, Lucking, Brittan, Venkatasubramanian, Stables, Stelzle, Marshall, Graveling, Flapan, Newby and Mills",2017,10.1161/circulationaha.116.025711,19,16,3,Not_Reported,,,,,,,,,,,,,,,
"Ingraham, Ferris and David Remy",2017,10.1109/icorr.2017.8009270,3,2,1,Not_Reported,,,,,,,,,,,,,,,
"James, Richardson, Watt, Willmott, Gibson and Maxwell",2017,10.1139/apnm-2016-0349,17,16,1,EUM,1,Follicular,Luteal,,,,,,,,,,,,
"Karagul, Nalcakan, Dogru and Tas",2017,,42,25,17,Not_Reported,,,,,,,,,,,,,,,
"Lei, Stannard, Perry, Schlader, Cotter and Mundel",2017,10.1113/jp273176,10,,10,EUM,10,Early_Follicular,Mid_Luteal,,,,,,,,,,,,
Leoz-Abaurrea and Aguado-Jimenez,2017,10.1016/j.wem.2017.02.005,20,16,4,Not_Reported,,,,,,,,,,,,,,,
"Lundgren-Kownacki, Martinez, Johansson, Psikuta, Annaheim and Kuklane",2017,10.1016/j.jtherbio.2017.05.006,10,5,5,EUM,5,Early_Follicular,,,,,,,,,,,,,
"Mcgowan, Pyne, Thompson, Raglin and Rattray",2017,10.1123/ijspp.2016-0276,13,7,6,Not_Reported,,,,,,,,,,,,,,,
"Mcgowan, Pyne, Thompson, Raglin, Osborne and Rattray",2017,10.1080/02640414.2016.1223329,25,12,13,Not_Reported,,,,,,,,,,,,,,,
"Miller, Hughes, Long, Adams and Casa",2017,,17,14,3,EUM,3,Luteal,,,,,,,,,,,,,
"Minahan, Melnikoff, Quinn and Larsen",2017,10.1007/s00421-017-3628-7,16,,16,EUM,8,Follicular,,OCP,8,Pill,,,,,,,,,
"Monnard, Fares, Calonne, Miles-Chan, Montani, Durrer, Schutz and Dulloo",2017,10.3389/fendo.2017.00130,27,9,18,EUM,18,Follicular,,,,,,,,,,,,,
"Moreno-Alsasua, Garcia-Zapirain, David Rodrigo-Carbonero, Ruiz, Hamrioui and De La Torre Diez",2017,10.1007/s10916-017-0840-2,20,6,14,Not_Reported,,,,,,,,,,,,,,,
"Morris, Pilcher and Powell",2017,10.1080/22423982.2017.1379306,8,5,3,Not_Reported,,,,,,,,,,,,,,,
"Morris, Pilcher, Mulvihill and Vander Wood",2017,10.1016/j.apergo.2017.03.009,65,39,26,Not_Reported,,,,,,,,,,,,,,,
"Moyce, Mitchell, Armitage, Tancredi, Joseph and Schenker",2017,10.1136/oemed-2016-103848,283,182,101,Not_Reported,,,,,,,,,,,,,,,
"Notley, Park, Tagami, Ohnishi and Taylor",2017,10.1113/ep086112,60,36,24,EUM,18,Follicular,,OCP,6,Placebo,,,,,,,,,
�zkan Tuncay and Mollao?lu,2017,10.1111/jocn.13788,75,17,58,Not_Reported,,,,,,,,,,,,,,,
"Phillips, Noh, Gage and Yoon",2017,10.1080/17461391.2017.1328707,12,8,4,Not_Reported,,,,,,,,,,,,,,,
"Rivas, Rao, Castleberry and Ben-Ezra",2017,10.1016/j.jtherbio.2017.10.001,12,7,5,EUM,5,Early_Follicular,,,,,,,,,,,,,
