Author,Year,DOI,TOTAL,Male,Female,G1,G1_n,G1_P1,G1_P2,G2,G2_n,G2_P1,G2_P2,G3,G3_n,G3_P1,G3_P2,G4,G4_n,G4_P1,G4_P2
"Sagui, Beighau, Jouvion, Trichereau, Cornet, Berthelot, Canini and Grelot",2017,10.7205/milmed-d-16-00251,40,38,2,OCP,2,Not_Reported,,,,,,,,,,,,,
"Schlader, Chapman, Sarker, Russo, Rideout, Parker, Johnson and Hostler",2017,10.1249/mss.0000000000001254,29,19,10,EUM,10,Follicular,,,,,,,,,,,,,
"Silva, Santos, Andrade, Santos, Moreira, Sillero-Quintana and Ferreira",2017,,38,5,33,Not_Reported,,,,,,,,,,,,,,,
"Sim, Joo, Kim, Jang, Kim, Hong, Kim and Park",2017,10.1109/jbhi.2016.2529655,17,14,3,Not_Reported,,,,,,,,,,,,,,,
"Snipe, Khoo, Kitic, Gibson and Costa",2017,10.1139/apnm-2017-0361,11,6,5,Not_Reported,,,,,,,,,,,,,,,
"Stahn, Werner, Opatz, Maggioni, Steinach, Von Ahlefeld, Moore, Crucian, Smith, Zwart, Schlabs, Mendt, Trippel, Koralewski, Koch, Chouk�r, Reitz, Shang, R�cker, Kirsch and Gunga",2017,10.1038/s41598-017-15560-w,11,7,4,Not_Reported,,,,,,,,,,,,,,,
"Towey, Easton, Simpson and Pedlar",2017,10.1016/j.jtherbio.2016.11.010,15,11,4,Not_Reported,,,,,,,,,,,,,,,
"Tze-Huan, Cotter, Stannard, Schlader, Perry, Yu-Tzu and Mundel",2017,https://protect-au.mimecast.com/s/0mo8CP7yXMcKl5nDDiBqvwb?domain=physoc.onlinelibrary.wiley.com,,,,,,,,,,,,,,,,,,,
"Veltmeijer, Eijsvogels, Barteling, Verbeek-Knobbe, Van Heerde and Hopman",2017,10.1016/j.jsams.2016.01.007,62,43,19,Not_Reported,,,,,,,,,,,,,,,
"Vincent, Aisbett, Larsen, Ridgers, Snow and Ferguson",2017,10.3390/ijerph14020180,30,27,3,Not_Reported,,,,,,,,,,,,,,,
"Wallace, Coletta, Vlaar, Cheung, Taber, Mckinlay and Wilson",2017,,18,14,4,EUM,4,Mid_Follicular,Mid_Luteal,,,,,,,,,,,,
"Yeo, Lim and Yoon",2017,10.1007/s10916-017-0860-y,31,28,3,Not_Reported,,,,,,,,,,,,,,,
"Zimmermann, Landers and Wallman",2017,10.1123/ijsnem.2016-0028,10,,10,OCP,10,Not_Reported,,,,,,,,,,,,,
Archer,2018,https://protect-au.mimecast.com/s/rHVUCQnzZNUkxNLDDUQnOQM?domain=researchgate.net,,,,,,,,,,,,,,,,,,,
"Atalay, �nal, O?ul, Ercan and �etin",2018,,30,16,14,Not_Reported,,,,,,,,,,,,,,,
"Buono, Kolding, Leslie, Moreno, Norwood, Ordille and Weller",2018,10.1016/j.jtherbio.2017.12.001,4,3,1,EUM,1,Follicular,,,,,,,,,,,,,
"Chaglla E, Celik and Balachandran",2018,10.3390/s18103315,10,4,6,Not_Reported,,,,,,,,,,,,,,,
"Cheung, Liu, Wong, Bae, Hui, Tsang, Cheng and Fong",2018,10.1155/2018/7575123,40,19,21,Not_Reported,,,,,,,,,,,,,,,
Chrisinger and King,2018,10.1186/s12942-018-0140-1,14,6,8,Not_Reported,,,,,,,,,,,,,,,
"Coletta, Mallette, Gabriel, Tyler and Cheung",2018,10.1371/journal.pone.0195219,20,13,7,EUM,7,Early_Follicular,,,,,,,,,,,,,
"Darzi, Gaweesh, Ahmed and Novak",2018,10.3389/fnins.2018.00568,21,15,6,Not_Reported,,,,,,,,,,,,,,,
Davy and Gobel,2018,10.1080/07420528.2017.1391277,33,18,15,Not_Reported,,,,,,,,,,,,,,,
"De Oliveira, De Araujo, De Andrade, Dos Santos, Moreira, Sillero-Quintana and De Almeida Ferreira",2018,10.12965/jer.1836056.028,31,11,20,Not_Reported,,,,,,,,,,,,,,,
"Early, Earnest, Theall, Lemoine, Harrell and Johannsen",2018,10.14814/phy2.13672,16,6,10,EUM,10,Follicular,,,,,,,,,,,,,
"Edwards, Barfield, Niemiro, Beals, Broad, Motl, De Lisio, Burd and Pilutti",2018,10.1038/s41394-018-0114-3,7,4,3,Not_Reported,,,,,,,,,,,,,,,
"Ekhart, Wicht, Kersken, Ackermann, Kaczmarczyk, Pretzsch, Alexander and Korf",2018,10.1080/07420528.2017.1375942,37,,37,EUM,37,Follicular,Luteal,,,,,,,,,,,,
"Ely, Blanchard, Steele, Francisco, Cheuvront and Minson",2018,10.1249/mss.0000000000001550,13,7,6,EUM,,Early_Follicular,,OCP,,Placebo,,,,,,,,,
"Fournier, Guenat, Fournier, Alberio, Bonny, Bertaggia Calderara, Bardy, Lauriers, Harbaoui, Monney, Pascale, Eeckhout and Muller",2018,10.1093/ehjcvp/pvy003,25,14,11,Not_Reported,,,,,,,,,,,,,,,
Galbraith and Willmott,2018,10.1080/17461391.2017.1411528,9,6,3,Not_Reported,,,,,,,,,,,,,,,
"Geisler, Schweitzer and Muller",2018,10.1152/japplphysiol.00162.2017,40,20,20,Not_Reported,,,,,,,,,,,,,,,
"Gerrett, Amano, Inoue, Havenith and Kondo",2018,10.14814/phy2.13619,12,7,5,Not_Reported,,,,,,,,,,,,,,,
"Grahn, Makam and Craig Heller",2018,10.1080/15459624.2018.1470635,23,12,11,Not_Reported,,,,,,,,,,,,,,,
Grimbuhler and Viel,2018,10.1093/annweh/wxy056,42,17,25,Not_Reported,,,,,,,,,,,,,,,
"Hanson, Carriveau, Morgan, Smith, Michael and Miller",2018,10.1519/jsc.0000000000001933,11,6,5,Not_Reported,,,,,,,,,,,,,,,
"Hoffman, Snipe and Costa",2018,10.1007/s00421-018-3996-7,12,7,5,Not_Reported,,,,,,,,,,,,,,,
"Horn, Kesler, Kerber, Fent, Schroeder, Scott, Fehling, Fernhall and Smith",2018,10.1080/00140139.2017.1355072,40,36,4,Not_Reported,,,,,,,,,,,,,,,
"Imai, Takeda, Suzuki, Naghavi, Yamashina, Ota, Matsumura, Yokoyama, Miyagawa and Okazaki",2018,10.1007/s00421-017-3797-4,10,9,1,EUM,1,Early_Follicular,,,,,,,,,,,,,
"Juliff, Peiffer and Halson",2018,10.1123/ijspp.2016-0809,12,,12,Not_Reported,,,,,,,,,,,,,,,
"Kesler, Ensari, Bollaert, Motl, Hsiao-Wecksler, Rosengren, Fernhall, Smith and Horn",2018,10.1080/00140139.2017.1360519,30,29,1,Not_Reported,,,,,,,,,,,,,,,
"Komarzynski, Huang, Innominato, Maurice, Arbaud, Beau, Bouchahda, Ulusakarya, Beaumatin, Breda, Finkenstadt and Levi",2018,10.2196/jmir.9779,55,23,32,Not_Reported,,,,,,,,,,,,,,,
"Kwiecien, Mchugh and Howatson",2018,10.1080/02640414.2017.1312492,8,6,2,Not_Reported,,,,,,,,,,,,,,,
"Larsen, Cox, Quinn, Fisher and Minahan",2018,,18,,18,EUM,9,Follicular,,OCP,9,Pill,,,,,,,,,
"Lasanen, Malo, Airaksinen, Karhu, Toyras and Julkunen",2018,10.1080/10803548.2017.1336299,14,,14,Not_Reported,,,,,,,,,,,,,,,
"Laxminarayan, Rakesh, Oyama, Kazman, Yanovich, Ketko, Epstein, Morrison and Reifman",2018,10.1152/japplphysiol.00837.2017,166,148,18,Not_Reported,,,,,,,,,,,,,,,
"Martinez-Nicolas, Madrid, Garcia, Campos, Moreno-Casbas, Almaida-Pagan, Lucas-Sanchez and Rol",2018,10.1038/s41598-018-33195-3,88,42,46,Not_Reported,,,,,,,,,,,,,,,
"Mee, Peters, Doust and Maxwell",2018,10.1016/j.jsams.2017.06.024,9,,9,EUM,5,Follicular,,OCP,4,Placebo,,,,,,,,,
"Mueller, Fischer, Herger, Nuesch, Egloff, Itin, Cajacob, Brandt and Mundermann",2018,10.1111/exd.13776,20,,20,Not_Reported,,,,,,,,,,,,,,,
"Ou-Yang, Meyer, Houser and Grove",2018,10.1111/ics.12440,24,,24,Not_Reported,,,,,,,,,,,,,,,
"Ravanelli, Coombs, Imbeault and Jay",2018,10.1249/mss.0000000000001439,8,6,2,EUM,2,Not_Reported,,,,,,,,,,,,,
"Relf, Willmott, Mee, Gibson, Saunders, Hayes and Maxwell",2018,10.1080/02640414.2017.1306652,9,,9,EUM,,Early_Follicular,,OCP,,Placebo,,,,,,,,,
"Saycell, Lomax, Massey and Tipton",2018,10.1136/bjsports-2017-098914,11,9,2,Not_Reported,,,,,,,,,,,,,,,
"Schubert, Clark, De La Rosa and Newcomer",2018,10.1016/j.ctcp.2018.07.003,27,4,23,Not_Reported,,,,,,,,,,,,,,,
"Shilaih, Goodale, Falco, Kubler, De Clerck and Leeners",2018,10.1042/bsr20171279,136,,136,EUM,136,Follicular,Luteal,,,,,,,,,,,,
Snipe and Costa,2018,10.1016/j.jsams.2017.12.014,12,6,6,EUM,6,Follicular,,,,,,,,,,,,,
"Snipe, Khoo, Kitic, Gibson and Costa",2018,10.1007/s00421-017-3781-z,10,6,4,Not_Reported,,,,,,,,,,,,,,,
"Snipe, Khoo, Kitic, Gibson and Costa",2018,10.1055/s-0043-122742,10,6,4,Not_Reported,,,,,,,,,,,,,,,
"Sol, Ruby, Gaskill, Dumke and Domitrovich",2018,10.1016/j.wem.2018.03.006,131,116,15,Not_Reported,,,,,,,,,,,,,,,
"Szymanski, Gillum, Gould, Morin and Kuennen",2018,10.1152/japplphysiol.00515.2017,8,6,2,OCP,1,Pill,,EUM,1,Not_Reported,,,,,,,,,
"Tomova-Simitchieva, Lichterfeld-Kottner, Blume-Peytavi and Kottner",2018,10.1111/iwj.12883,15,,15,Not_Reported,,,,,,,,,,,,,,,
"Trotter, Pizzey, Batterson, Jacobs and Pearson",2018,10.1152/ajpregu.00182.2018,11,9,2,EUM,2,Follicular,,,,,,,,,,,,,
"Vargas, Chapman, Johnson, Gathercole and Schlader",2018,10.1152/ajpregu.00178.2018,16,8,8,EUM,4,Follicular,,OCP,4,Placebo,,,,,,,,,
"Vargas, Chapman, Sackett, Abdul-Rashed, Mcbryde, Johnson, Gathercole and Schlader",2018,10.1016/j.physbeh.2018.02.001,12,6,6,EUM,,Follicular,,OCP,,Placebo,,,,,,,,,
"Vincent, Ferguson, Larsen, Ridgers, Snow and Aisbett",2018,10.1007/s00420-018-1304-9,31,26,5,Not_Reported,,,,,,,,,,,,,,,
"Waldock, Hayes, Watt and Maxwell",2018,10.1016/j.puhe.2018.04.012,27,17,10,Not_Reported,,,,,,,,,,,,,,,
"Welles, Buller, Looney, Rumpler, Gribok and Hoyt",2018,10.1016/j.jtherbio.2017.12.007,15,11,4,Not_Reported,,,,,,,,,,,,,,,
"Willmott, Gibson, James, Hayes and Maxwell",2018,10.1080/23328940.2018.1426949,10,6,4,OCP,4,Pill,,,,,,,,,,,,,
Wilson,2018,10.1016/j.jtherbio.2018.08.006,28,26,2,Not_Reported,,,,,,,,,,,,,,,
"Acosta, Martinez-Tellez, Blondin, Haman, Rensen, Llamas-Elvira, Martinez-Nicolas and Ruiz",2019,10.1177/0748730419865400,77,20,57,Not_Reported,,,,,,,,,,,,,,,
"Akbas, Unver and Erdem",2019,10.1159/000497618,210,,210,Not_Reported,,,,,,,,,,,,,,,
"Allen, Huang, Morris, Chaseling, Frohman, Jay and Davis",2019,10.1249/mss.0000000000001821,12,3,9,Not_Reported,,,,,,,,,,,,,,,
"Belinch�n-Demiguel, Ruisoto-Palomera and Clemente-Su�rez",2019,10.1007/s10916-019-1188-6,1,,1,Not_Reported,,,,,,,,,,,,,,,
"Bright, Chaseling, Jay and Morris",2019,10.1016/j.jsams.2018.09.225,12,8,4,EUM,4,Follicular,,,,,,,,,,,,,
"Burfield, Carkeet and Ostrin",2019,10.1167/iovs.19-26711,42,14,28,Not_Reported,,,,,,,,,,,,,,,
"Charkoudian, Mitchell, Yurkevicius, Luippold, Bradbury and Kenefick",2019,10.1152/ajpregu.00143.2019,13,11,2,Not_Reported,,,,,,,,,,,,,,,
"Chowdhury, Tjondronegoro, Chandran, Zhang and Trost",2019,10.3390/s19204509,22,17,5,Not_Reported,,,,,,,,,,,,,,,
"De Nardi, Silvani, Ruggeri, Luzi, La Torre and Codella",2019,10.1016/j.cryobiol.2019.03.002,50,,50,Not_Reported,,,,,,,,,,,,,,,
"Diaz-Piedra, Gomez-Milan and Di Stasi",2019,10.1016/j.apergo.2019.06.001,12,6,6,Not_Reported,,,,,,,,,,,,,,,
"Diment, Thompson and Bergmann",2019,10.1016/j.clinbiomech.2019.07.020,30,25,5,Not_Reported,,,,,,,,,,,,,,,
"English, Mavros and Jay",2019,10.1016/j.physbeh.2019.112567,12,9,3,EUM,3,Follicular,,,,,,,,,,,,,
"Ferguson, Barthel, Pruett, Buckingham and Waaso",2019,10.1249/mss.0000000000001997,12,6,6,EUM,6,Follicular,Luteal,,,,,,,,,,,,
"Furr, Warner, Copeland, Robles-Rodr�guez, Ponce-Gonz�lez, Nessler and Newcomer",2019,,48,38,10,Not_Reported,,,,,,,,,,,,,,,
"Gil-Calvo, Priego-Quesada, Jimenez-Perez, Lucas-Cuevas and Perez-Soriano",2019,10.1088/1361-6579/ab1c8c,24,18,6,Not_Reported,,,,,,,,,,,,,,,
"Gorlova, Ichiba, Nishimaru, Takamura, Matsumoto, Hori, Nagashima, Tatsuse, Ono and Nishijo",2019,10.3389/fneur.2019.00066,20,,20,Not_Reported,,,,,,,,,,,,,,,
"Gosselin, Beliveau, Hamel, Casa, Hosokawa, Morais and Goulet",2019,10.1016/j.jtherbio.2019.05.010,13,10,3,Not_Reported,,,,,,,,,,,,,,,
"Hanson, Martinez, Byl, Maceri and Miller",2019,10.1123/ijspp.2018-0263,10,6,4,Not_Reported,,,,,,,,,,,,,,,
"Herrera-Valenzuela, Ibieta, Fuentes, Saez-Madain, Lopez, Verdugo, Ramirez-Campillo, Valdes-Badilla, Pardo, Franchini and Orihuela",2019,,10,5,5,Not_Reported,,,,,,,,,,,,,,,
"Hohenauer, Costello, Deliens, Clarys, Stoop and Clijsen",2019,10.1111/sms.13593,28,,28,Not_Reported,,,,,,,,,,,,,,,
Hurrie and Giesbrecht,2019,10.1139/apnm-2019-0189,9,6,3,Not_Reported,,,,,,,,,,,,,,,
"Ingraham, Ferris and Remy",2019,10.1152/japplphysiol.00714.2018,10,8,2,Not_Reported,,,,,,,,,,,,,,,
"Kirby, Lucas and Lucas",2019,10.3389/fphys.2019.00539,8,,8,EUM,2,Follicular,Luteal,OCP,2,Pill,Placebo,Implant,3,Not_Reported,,IUD,1,Not_Reported,
"Komarzynski, Bolborea, Huang, Finkenstadt and Levi",2019,10.1172/jci.insight.130423,33,15,18,EUM,11,Not_Reported,,OCP,7,Not_Reported,,,,,,,,,
"Lasselin, Sundelin, Wayne, Olsson, Paues Goranson, Axelsson and Lekander",2019,10.1016/j.bbi.2019.11.019,19,12,7,Not_Reported,,,,,,,,,,,,,,,
"Lei, Cotter, Schlader, Stannard, Perry, Barnes and Mundel",2019,10.1113/jp276233,10,,10,OCP,10,Pill,Placebo,,,,,,,,,,,,
"Leoz-Abaurrea, Tam and Aguado-Jimenez",2019,10.1016/j.jshs.2016.01.008,16,12,4,EUM,,Follicular,,EUM,,Luteal,,,,,,,,,
Levine and Buono,2019,10.1016/j.jtherbio.2019.06.006,10,5,5,Not_Reported,,,,,,,,,,,,,,,
Logan-Sprenger,2019,10.1016/j.jtherbio.2018.12.003,6,3,3,Not_Reported,,,,,,,,,,,,,,,
Logan-Sprenger and Mc Naughton,2019,10.1080/15438627.2019.1627546,11,,11,Not_Reported,,,,,,,,,,,,,,,
"Loibner, Hagauer, Schwantzer, Berghold and Zatloukal",2019,10.1371/journal.pone.0210775,19,10,9,Not_Reported,,,,,,,,,,,,,,,
"Lok, Van Koningsveld, Gordijn, Beersma and Hut",2019,10.1111/jpi.12583,10,5,5,Not_Reported,,,,,,,,,,,,,,,
"Lorenz, Spada, Sander, Riedel-Heller and Hegerl",2019,10.1016/j.jpsychires.2019.06.022,242,184,58,Not_Reported,,,,,,,,,,,,,,,
"Mallette, Green, Hodges, Fernley, Gabriel, Holmes and Cheung",2019,10.1007/s00421-019-04112-x,16,12,4,Not_Reported,,,,,,,,,,,,,,,
"Melau, Mathiassen, Stensrud, Tipton and Hisdal",2019,10.3390/sports7060130,20,12,8,Not_Reported,,,,,,,,,,,,,,,
"Miranda Hurtado, Meza Valladares, Eblen-Zajjur and Rodriguez-Fernandez",2019,10.1089/acm.2018.0261,16,,16,Not_Reported,,,,,,,,,,,,,,,
"Molzof, Prapanjaroensin, Patel, Mokashi, Gamble and Patrician",2019,10.1016/j.nlm.2019.01.002,30,,30,Not_Reported,,,,,,,,,,,,,,,
"Moreira-Marconi, Moura-Fernandes, Lopes-Souza, Teixeira-Silva, Reis-Silva, Marchon, Guedes-Aguiar, Paineiras-Domingos, S�-Caputo, Morel, Dionello, De-Carvalho, Pereira, Francisca-Santos, Silva-Costa, Ol�mpio-Souza, Lemos-Santos, Asad, Xavier, Taiar, Sonza, Seixas, Cochrane and Bernardo-Filho",2019,10.1371/journal.pone.0212512,22,7,15,Not_Reported,,,,,,,,,,,,,,,
"Moss, Bayne, Castelli, Naughton, Reeve, Trangmar, Mackenzie and Tyler",2019,10.1007/s00421-019-04269-5,16,13,3,Not_Reported,,,,,,,,,,,,,,,
"Palejwala, Wallman, Ward, Yam, Maroni, Parker and Wood",2019,10.1371/journal.pone.0222923,17,8,9,EUM,4,Not_Reported,,OCP,1,Not_Reported,,IUD,3,Not_Reported,,Amenorrheic/Oligomenorrheic,1,Not_Reported,
"Perez-Guarner, Priego-Quesada, Oficial-Casado, Cibrian Ortiz De Anda, Carpes and Palmer",2019,10.1088/1361-6579/ab0fdc,17,11,6,Not_Reported,,,,,,,,,,,,,,,
"Pethick, Murray, Mcfadyen, Brodie, Gaul and Stellingwerff",2019,10.1111/sms.13319,33,30,3,Not_Reported,,,,,,,,,,,,,,,
"Qian, Scheer, Hu and Shea",2019,10.1093/sleep/zsz253,12,6,6,Not_Reported,,,,,,,,,,,,,,,
"Racinais, Moussay, Nichols, Travers, Belfekih, Schumacher and Periard",2019,10.1136/bjsports-2018-099881,40,19,21,Not_Reported,,,,,,,,,,,,,,,
"Ravanelli, Coombs, Imbeault and Jay",2019,10.1152/japplphysiol.00220.2019,8,6,2,Not_Reported,,,,,,,,,,,,,,,
"Resuehr, Wu, Johnson, Young, Hogenesch and Gamble",2019,10.1177/0748730419826694,17,,17,OCP,4,,,,,,,,,,,,,,
"Rivas, Crandall, Suman, Moustaid-Moussa and Ben-Ezra",2019,10.1016/j.jtherbio.2019.07.017,13,8,5,EUM,5,Early_Follicular,,,,,,,,,,,,,
"Romero-Moraleda, Coso, Gutierrez-Hellin, Ruiz-Moreno, Grgic and Lara",2019,10.2478/hukin-2019-0061,13,,13,EUM,13,Early_Follicular,Late_Follicular,EUM,,Mid_Luteal,,,,,,,,,
"Roossien, Heus, Reneman and Verkerke",2019,10.1016/j.apergo.2019.103001,11,10,1,Not_Reported,,,,,,,,,,,,,,,
"Sandage, Wang and Cao",2019,10.1016/j.jvoice.2019.08.020,10,7,3,EUM,3,Follicular,,,,,,,,,,,,,
"Saycell, Lomax, Massey and Tipton",2019,10.1136/bjsports-2018-099978,12,6,6,Not_Reported,,,,,,,,,,,,,,,
"Shimose, Tadano, Sugawara, Seki, Naito, Yona, Tajima, Uchiyama and Muro",2019,10.1080/08990220.2019.1689117,17,10,7,Not_Reported,,,,,,,,,,,,,,,
"Stephenson, Hoekstra, Tolfrey and Goosey-Tolfrey",2019,10.1123/ijspp.2019-0116,28,17,11,Not_Reported,,,,,,,,,,,,,,,
"Stephenson, Tolfrey and Goosey-Tolfrey",2019,10.3389/fphys.2019.01214,28,21,7,Not_Reported,,,,,,,,,,,,,,,
"Suter, Miller, Anggraeni, Ebi, Game, Krenz, Masuda, Sheppard, Wolff and Spector",2019,10.1088/1748-9326/ab2b53,363,171,192,Not_Reported,,,,,,,,,,,,,,,
"Teo, Kanaley, Guelfi, Marston and Fairchild",2019,10.1249/mss.0000000000002139,20,9,11,Not_Reported,,,,,,,,,,,,,,,
Tornero-Aguilera and Clemente-Suarez,2019,10.3357/amhp.5217.2019,21,11,10,Not_Reported,,,,,,,,,,,,,,,
"Tumilty, Adhia, Smoliga and Gisselman",2019,10.1016/j.ptsp.2019.01.009,17,10,7,Not_Reported,,,,,,,,,,,,,,,
"Valenza, Bianco and Filingeri",2019,10.1113/jp277928,20,10,10,OCP,2,Not_Controlled,,EUM,8,Not_Controlled,,,,,,,,,
"Van Delden, Bongers, Broekens, Daanen and Eijsvogels",2019,10.1080/23328940.2018.1540964,7,3,4,Not_Reported,,,,,,,,,,,,,,,
"Vargas, Chapman, Johnson, Gathercole and Schlader",2019,10.1152/japplphysiol.00992.2018,20,10,10,EUM,6,Follicular,,OCP,4,Placebo,,,,,,,,,
"Vargas, Chapman, Johnson, Gathercole, Cramer and Schlader",2019,10.1152/japplphysiol.00379.2019,12,6,6,EUM,2,Follicular,,OCP,4,Placebo,,,,,,,,,
"Vargas, Chapman, Sackett, Johnson, Gathercole and Schlader",2019,10.1249/mss.0000000000001756,20,10,10,EUM,5,Follicular,,OCP,5,Placebo,,,,,,,,,
"Vesela, Kingma, Frijns and Van Marken Lichtenbelt",2019,10.1016/j.jtherbio.2019.07.033,19,10,9,Not_Reported,,,,,,,,,,,,,,,
"Warner, Nessler and Newcomer",2019,10.3390/sports7060145,27,,27,Not_Reported,,,,,,,,,,,,,,,
"Watkins, Hayes, Watt and Richardson",2019,10.1080/15459624.2018.1531132,16,14,2,EUM,2,Early_Follicular,,,,,,,,,,,,,
"West, Tarrier, Hodder and Havenith",2019,10.1080/00140139.2019.1657185,14,,14,Not_Reported,,,,,,,,,,,,,,,
Wohlfert and Miller,2019,10.3357/amhp.5194.2019,12,6,6,EUM,6,Follicular,,,,,,,,,,,,,
"Yamazaki, Sato, Yamashiro, Nakano, Onishi and Maruyama",2019,10.3389/fphys.2019.01361,22,7,15,Not_Reported,,,,,,,,,,,,,,,
"Yanovich, Ketko, Muginshtein-Simkovitch, Yanovich, Eliyahu, Fleischmann, Atias-Varon, Waissengrin, Makranz and Heled",2019,10.1080/02701367.2019.1599799,33,,33,EUM,,Follicular,Luteal,OCP,,Pill,Placebo,,,,,,,,